 -- FILM's AVERAGE PER COUNTRY -- Mon Oct 11 09:09:16 2021
__________________
('Country:', 'VDVN', 'Average:', 0.0, 'Elements:', 5)
('Country:', 'DJ', 'Average:', 0.0, 'Elements:', 2)
('Country:', 'GP', 'Average:', 0.0, 'Elements:', 81)
('Country:', 'MR', 'Average:', 0.0, 'Elements:', 8)
('Country:', 'SC', 'Average:', 0.0, 'Elements:', 3)
('Country:', 'ZRCD', 'Average:', 0.0, 'Elements:', 4)
('Country:', 'GM', 'Average:', 0.0, 'Elements:', 8)
('Country:', 'BI', 'Average:', 0.0, 'Elements:', 25)
('Country:', 'CF', 'Average:', 0.0, 'Elements:', 4)
('Country:', 'CV', 'Average:', 0.0, 'Elements:', 9)
('Country:', 'VA', 'Average:', 0.0, 'Elements:', 3)
('Country:', 'FM', 'Average:', 0.0, 'Elements:', 2)
('Country:', 'GF', 'Average:', 0.0, 'Elements:', 3)
('Country:', 'SL', 'Average:', 0.0, 'Elements:', 13)
('Country:', 'CW', 'Average:', 0.0, 'Elements:', 2)
('Country:', 'SH', 'Average:', 0.0, 'Elements:', 3)
('Country:', 'MS', 'Average:', 0.0, 'Elements:', 2)
('Country:', 'KM', 'Average:', 0.0, 'Elements:', 4)
('Country:', 'GD', 'Average:', 0.0, 'Elements:', 2)
('Country:', 'GW', 'Average:', 0.0, 'Elements:', 2)
('Country:', 'KI', 'Average:', 0.0, 'Elements:', 2)
('Country:', 'EH', 'Average:', 0.0, 'Elements:', 2)
('Country:', 'AQ', 'Average:', 0.0, 'Elements:', 2)
('Country:', 'TC', 'Average:', 0.0, 'Elements:', 2)
('Country:', 'LI', 'Average:', 0.061415525114155246, 'Elements:', 438)
('Country:', 'CG', 'Average:', 0.0625, 'Elements:', 96)
('Country:', 'TG', 'Average:', 0.18571428571428572, 'Elements:', 35)
('Country:', 'PT', 'Average:', 0.25603750224712035, 'Elements:', 689772)
('Country:', 'ES', 'Average:', 0.2686343104728087, 'Elements:', 553691)
('Country:', 'IT', 'Average:', 0.27344749218064635, 'Elements:', 444410)
('Country:', 'KP', 'Average:', 0.28750000000000003, 'Elements:', 304)
('Country:', 'MG', 'Average:', 0.30000000000000004, 'Elements:', 18)
('Country:', 'GI', 'Average:', 0.31739130434782614, 'Elements:', 69)
('Country:', 'FR', 'Average:', 0.32479364140450023, 'Elements:', 483503)
('Country:', 'NG', 'Average:', 0.3466138778912275, 'Elements:', 4799)
('Country:', 'BM', 'Average:', 0.35000000000000003, 'Elements:', 12)
('Country:', 'IN', 'Average:', 0.38576243755454853, 'Elements:', 455998)
('Country:', 'PF', 'Average:', 0.39999999999999997, 'Elements:', 17)
('Country:', 'ZM', 'Average:', 0.43333333333333335, 'Elements:', 30)
('Country:', 'DE', 'Average:', 0.43494387623474684, 'Elements:', 457382)
('Country:', 'JP', 'Average:', 0.5264095746664409, 'Elements:', 536332)
('Country:', 'AD', 'Average:', 0.5384615384615384, 'Elements:', 26)
('Country:', 'CI', 'Average:', 0.5612903225806453, 'Elements:', 62)
('Country:', 'KY', 'Average:', 0.5869565217391305, 'Elements:', 23)
('Country:', 'DM', 'Average:', 0.6, 'Elements:', 8)
('Country:', 'NI', 'Average:', 0.6065573770491803, 'Elements:', 61)
('Country:', 'TJ', 'Average:', 0.6454545454545454, 'Elements:', 22)
('Country:', 'AI', 'Average:', 0.6599999999999999, 'Elements:', 5)
('Country:', 'KE', 'Average:', 0.6629629629629631, 'Elements:', 243)
('Country:', 'JM', 'Average:', 0.6769411764705884, 'Elements:', 425)
('Country:', 'HT', 'Average:', 0.6875, 'Elements:', 80)
('Country:', 'TL', 'Average:', 0.6909090909090909, 'Elements:', 11)
('Country:', 'IM', 'Average:', 0.7083333333333334, 'Elements:', 24)
('Country:', 'UG', 'Average:', 0.7689265536723163, 'Elements:', 177)
('Country:', 'PY', 'Average:', 0.7726937269372693, 'Elements:', 271)
('Country:', 'EC', 'Average:', 0.7854294478527608, 'Elements:', 652)
('Country:', 'BN', 'Average:', 0.8125, 'Elements:', 8)
('Country:', 'MZ', 'Average:', 0.8139240506329115, 'Elements:', 79)
('Country:', 'DO', 'Average:', 0.8257415254237287, 'Elements:', 944)
('Country:', 'MU', 'Average:', 0.8282051282051281, 'Elements:', 39)
('Country:', 'RW', 'Average:', 0.8647058823529411, 'Elements:', 34)
('Country:', 'CM', 'Average:', 0.8661290322580646, 'Elements:', 124)
('Country:', 'CY', 'Average:', 0.8696601941747573, 'Elements:', 412)
('Country:', 'SZ', 'Average:', 0.9, 'Elements:', 10)
('Country:', 'YE', 'Average:', 0.9, 'Elements:', 14)
('Country:', 'PH', 'Average:', 0.9020296955456694, 'Elements:', 20003)
('Country:', 'GQ', 'Average:', 0.9199999999999999, 'Elements:', 5)
('Country:', 'PR', 'Average:', 0.9333333333333333, 'Elements:', 792)
('Country:', 'CU', 'Average:', 0.9365754812563325, 'Elements:', 987)
('Country:', 'BUMM', 'Average:', 0.9520000000000001, 'Elements:', 25)
('Country:', 'BS', 'Average:', 0.9616438356164384, 'Elements:', 73)
('Country:', 'HN', 'Average:', 0.9746031746031746, 'Elements:', 63)
('Country:', 'OM', 'Average:', 0.975, 'Elements:', 24)
('Country:', 'QA', 'Average:', 0.990990990990991, 'Elements:', 222)
('Country:', 'GU', 'Average:', 1.0, 'Elements:', 26)
('Country:', 'BW', 'Average:', 1.0230769230769232, 'Elements:', 13)
('Country:', 'MX', 'Average:', 1.0515547413585282, 'Elements:', 41486)
('Country:', 'SN', 'Average:', 1.0544827586206897, 'Elements:', 145)
('Country:', 'LR', 'Average:', 1.0571428571428572, 'Elements:', 7)
('Country:', 'VI', 'Average:', 1.060377358490566, 'Elements:', 53)
('Country:', 'GY', 'Average:', 1.0615384615384615, 'Elements:', 13)
('Country:', 'CD', 'Average:', 1.0704225352112677, 'Elements:', 71)
('Country:', 'VG', 'Average:', 1.0714285714285714, 'Elements:', 7)
('Country:', 'KH', 'Average:', 1.0803418803418803, 'Elements:', 117)
('Country:', 'FJ', 'Average:', 1.088888888888889, 'Elements:', 18)
('Country:', 'ER', 'Average:', 1.0999999999999999, 'Elements:', 6)
('Country:', 'PK', 'Average:', 1.1231239092495642, 'Elements:', 3438)
('Country:', 'GH', 'Average:', 1.137560975609756, 'Elements:', 205)
('Country:', 'ZA', 'Average:', 1.1474782293178531, 'Elements:', 5512)
('Country:', 'CN', 'Average:', 1.1499601593625501, 'Elements:', 12550)
('Country:', 'BF', 'Average:', 1.1507462686567165, 'Elements:', 67)
('Country:', 'MV', 'Average:', 1.151851851851852, 'Elements:', 27)
('Country:', 'MT', 'Average:', 1.1769633507853408, 'Elements:', 191)
('Country:', 'XKV', 'Average:', 1.1783582089552238, 'Elements:', 134)
('Country:', 'KW', 'Average:', 1.1980132450331127, 'Elements:', 151)
('Country:', 'GN', 'Average:', 1.2000000000000002, 'Elements:', 16)
('Country:', 'MA', 'Average:', 1.216775032509753, 'Elements:', 769)
('Country:', 'BO', 'Average:', 1.2184426229508196, 'Elements:', 244)
('Country:', 'BT', 'Average:', 1.2230769230769232, 'Elements:', 26)
('Country:', 'MO', 'Average:', 1.2481481481481482, 'Elements:', 54)
('Country:', 'ZW', 'Average:', 1.2542372881355932, 'Elements:', 59)
('Country:', 'AO', 'Average:', 1.2576923076923079, 'Elements:', 52)
('Country:', 'BZ', 'Average:', 1.2857142857142858, 'Elements:', 14)
('Country:', 'IQ', 'Average:', 1.287425149700599, 'Elements:', 167)
('Country:', 'LY', 'Average:', 1.295121951219512, 'Elements:', 41)
('Country:', 'AS', 'Average:', 1.325, 'Elements:', 4)
('Country:', 'TT', 'Average:', 1.3312925170068026, 'Elements:', 147)
('Country:', 'CH', 'Average:', 1.3327563768870363, 'Elements:', 7684)
('Country:', 'AL', 'Average:', 1.3424597364568083, 'Elements:', 683)
('Country:', 'RE', 'Average:', 1.3499999999999999, 'Elements:', 6)
('Country:', 'XYU', 'Average:', 1.3677817602548799, 'Elements:', 7533)
('Country:', 'CK', 'Average:', 1.375, 'Elements:', 4)
('Country:', 'TZ', 'Average:', 1.3896907216494843, 'Elements:', 97)
('Country:', 'GL', 'Average:', 1.4000000000000001, 'Elements:', 14)
('Country:', 'KZ', 'Average:', 1.4082949308755761, 'Elements:', 217)
('Country:', 'MQ', 'Average:', 1.4272727272727275, 'Elements:', 22)
('Country:', 'MM', 'Average:', 1.4275, 'Elements:', 80)
('Country:', 'FO', 'Average:', 1.4393939393939394, 'Elements:', 33)
('Country:', 'SG', 'Average:', 1.4410741885625962, 'Elements:', 2588)
('Country:', 'GT', 'Average:', 1.4726495726495723, 'Elements:', 117)
('Country:', 'MW', 'Average:', 1.5214285714285711, 'Elements:', 14)
('Country:', 'CR', 'Average:', 1.5259541984732827, 'Elements:', 262)
('Country:', 'BB', 'Average:', 1.5321428571428573, 'Elements:', 28)
('Country:', 'AR', 'Average:', 1.5351639688879504, 'Elements:', 19028)
('Country:', 'ET', 'Average:', 1.5412698412698413, 'Elements:', 63)
('Country:', 'AG', 'Average:', 1.5615384615384615, 'Elements:', 13)
('Country:', 'NZ', 'Average:', 1.5663125204315123, 'Elements:', 6118)
('Country:', 'NA', 'Average:', 1.576271186440678, 'Elements:', 59)
('Country:', 'IL', 'Average:', 1.5775005775005762, 'Elements:', 4329)
('Country:', 'IE', 'Average:', 1.5802766570605207, 'Elements:', 8675)
('Country:', 'AE', 'Average:', 1.605862068965517, 'Elements:', 870)
('Country:', 'LU', 'Average:', 1.6086597938144334, 'Elements:', 485)
('Country:', 'KG', 'Average:', 1.6254545454545455, 'Elements:', 55)
